,0,1,title
170,170,http://www.memphis.edu/uofmglobal/services/learning/success-strategies.php,Success Strategies -       	UofM Global      	 - University of Memphis   
171,171,http://www.memphis.edu/uofmglobal/about/accreditations.php,Accreditation -       	UofM Global      	 - University of Memphis   
172,172,http://www.memphis.edu/uofmglobal/degrees/index.php,UofM Global Degree Programs -       	UofM Global      	 - University of Memphis   
173,173,http://www.memphis.edu/libraries/help/askalibrarian.php,Ask A Librarian -       	Libraries      	 - University of Memphis   
174,174,http://www.memphis.edu/uofmglobal/services/disability-resources/disability-resources.php,Disability Resources for Students Online -       	UofM Global      	 - University of Memphis   
175,175,http://www.memphis.edu/uofmglobal/services/advising/degree-worksheet.php,Degree Worksheet -       	UofM Global      	 - University of Memphis   
176,176,http://www.memphis.edu/uofmglobal/services/learning/prior-learning-assessment.php,Prior Learning Assessment -       	UofM Global      	 - University of Memphis   
177,177,http://www.memphis.edu/uofmglobal/about/experience.php,The UofM Global Experience -       	UofM Global      	 - University of Memphis   
178,178,http://www.memphis.edu/uofmglobal/services/career/index.php,Career Services -       	UofM Global      	 - University of Memphis   
179,179,http://www.memphis.edu/uofmglobal/financialaid/,Financial Aid -       	UofM Global      	 - University of Memphis   
180,180,http://www.memphis.edu/uofmglobal/degrees/graduate-certificates.php,Graduate Certificates -       	UofM Global      	 - University of Memphis   
181,181,http://www.memphis.edu/ehs/contact/index.php,Contact Us -       	EH&S      	 - University of Memphis   
182,182,http://www.memphis.edu/ehs/emergencies/index.php,Emergencies -       	EH&S      	 - University of Memphis   
183,183,http://www.memphis.edu/ehs/sds/index.php, SDS -       	EH&S      	 - University of Memphis   
184,184,http://www.memphis.edu/ehs/programs/training.php,Training  -       	EH&S      	 - University of Memphis   
185,185,http://www.memphis.edu/ehs/programs/index.php, Programs -       	EH&S      	 - University of Memphis   
186,186,http://www.memphis.edu/ehs/resources/index.php,Resources -       	EH&S      	 - University of Memphis   
187,187,http://www.memphis.edu/crisis/index.php,Office of Crisis Management -       	Crisis Management      	 - University of Memphis   
188,188,http://www.memphis.edu/ehs/report_an_incident/index.php,Report an Incident -       	EH&S      	 - University of Memphis   
189,189,http://www.memphis.edu/sph/research/index.php,  -       	SPH      	 - University of Memphis   
190,190,http://www.memphis.edu/sph/news/index.php,News -       	SPH      	 - University of Memphis   
191,191,http://www.memphis.edu/sph/supportsph.php,Support SPH -       	SPH      	 - University of Memphis   
192,192,http://www.memphis.edu/sph/about/index.php,About -       	SPH      	 - University of Memphis   
193,193,http://www.memphis.edu/sph/applynowsph.php,Apply Now  -       	SPH      	 - University of Memphis   
194,194,http://www.memphis.edu/sph/programs/index.php,Programs -       	SPH      	 - University of Memphis   
195,195,http://www.memphis.edu/sph/people/index.php,People -       	SPH      	 - University of Memphis   
196,196,http://www.memphis.edu/sph/contactus.php,Contact Us -       	SPH      	 - University of Memphis   
197,197,http://www.memphis.edu/sph/students_alumni/index.php,Students & Alumni -       	SPH      	 - University of Memphis   
198,198,http://www.memphis.edu/records/,HR Records Management -       	HR Records Management      	 - University of Memphis   
199,199,http://www.memphis.edu/hr/avp.php,Maria Alam -       	Human Resources      	 - University of Memphis   
200,200,http://www.memphis.edu/parking/,Parking and Transportation Services -       	Parking & Transportation Services      	 - University of Memphis   
201,201,http://www.memphis.edu/benefits/discounts.php,Employee Discounts -       	University Benefits Administration      	 - University of Memphis   
202,202,http://www.memphis.edu/innovation/,The Center for Innovative Teaching and Learning -       	CITL      	 - University of Memphis   
203,203,http://www.memphis.edu/benefits/,University Benefits Administration -       	University Benefits Administration      	 - University of Memphis   
204,204,http://www.memphis.edu/umtech/teaching/,Teaching & Learning  -       	umTech - Information Technology Services       	 - University of Memphis   
205,205,http://www.memphis.edu/umtech/smarttech_services/smart_classroom.php,Find Technology -       	umTech - Information Technology Services       	 - University of Memphis   
206,206,http://www.memphis.edu/ieaaa/,"Institutional Effectiveness, Accreditation, & Academic Assessment -       	Institutional Effectiveness, Accreditation, & Academic Assessment      	 - University of Memphis   "
207,207,http://www.memphis.edu/workforce/,Workforce Management -       	Workforce Management      	 - University of Memphis   
208,208,http://www.memphis.edu/emprelations/appraisals.php,Performance Management Assessments -       	Employee Relations & Engagement      	 - University of Memphis   
209,209,http://www.memphis.edu/mail/,Mail Services -       	Mail Services      	 - University of Memphis   
210,210,http://www.memphis.edu/enrollment/,Enrollment Services -       	Enrollment Services      	 - University of Memphis   
