,0,1,title
0,0,http://www.memphis.edu,
177,177,http://www.memphis.edu/fcbe/faculty/index.php, Faculty & Staff -       	FCBE      	 - University of Memphis   
178,178,http://www.memphis.edu/fcbe/students/index.php,FCBE Students -       	FCBE      	 - University of Memphis   
179,179,http://www.memphis.edu/fcbe/programs/apply_masters.php,How To Apply For A Masters -       	FCBE      	 - University of Memphis   
180,180,http://www.memphis.edu/fcbe/programs/index.php, Programs -       	FCBE      	 - University of Memphis   
181,181,http://www.memphis.edu/fcbe/news/events.php,FCBE Events -       	FCBE      	 - University of Memphis   
182,182,http://www.memphis.edu/supportfcbe/,Support the FCBE -       	Support the FCBE      	 - University of Memphis   
183,183,http://www.memphis.edu/studentinvolvement/,Student Leadership & Involvement -       	Student Leadership & Involvement      	 - University of Memphis   
184,184,http://www.memphis.edu/counseling/,Counseling Center -       	Counseling Center      	 - University of Memphis   
185,185,http://www.memphis.edu/drs/,Disability Resources for Students -       	Disability Resources for Students      	 - University of Memphis   
186,186,http://www.memphis.edu/health/,Welcome to the Student Health Center! -       	Student Health Center      	 - University of Memphis   
187,187,http://www.memphis.edu/gsa/,Graduate Student Association -       	GSA      	 - University of Memphis   
188,188,http://www.memphis.edu/careerservices/,Welcome to Career Services -       	Career Services      	 - University of Memphis   
189,189,http://www.memphis.edu/fsa/,Fraternity & Sorority Affairs -       	Student Leadership & Involvement      	 - University of Memphis   
190,190,http://www.memphis.edu/sac/,Student Activities Council (SAC) -       	Student Leadership & Involvement      	 - University of Memphis   
191,191,http://www.memphis.edu/acss/,Adult and Commuter Student Services -       	Adult and Commuter Student Services      	 - University of Memphis   
192,192,http://www.memphis.edu/studentgiving/commoncents.php,Common Cents -       	Annual Giving      	 - University of Memphis   
193,193,http://www.memphis.edu/testing/,Testing Center -       	Testing Center      	 - University of Memphis   
194,194,http://www.memphis.edu/childcare/,Child Care - Child Development Center -       	Child Care      	 - University of Memphis   
195,195,http://www.memphis.edu/sga/,Welcome to the Student Government Association -       	Student Government Association      	 - University of Memphis   
196,196,http://www.memphis.edu/iso/,International Student Office -       	International Student Services      	 - University of Memphis   
197,197,http://www.memphis.edu/ssp/,Student Success Programs -       	Student Success Programs      	 - University of Memphis   
198,198,http://www.memphis.edu/multiculturalaffairs/,Welcome to Multicultural Affairs! -       	Multicultural Affairs      	 - University of Memphis   
199,199,http://www.memphis.edu/studentlife/,Office of Dean of Students -       	Student Life / Dean of Students      	 - University of Memphis   
200,200,http://www.memphis.edu/summer/,Summer School -       	Summer School      	 - University of Memphis   
201,201,http://www.memphis.edu/registrar/register/,Register -       	Registrar      	 - University of Memphis   
202,202,http://www.memphis.edu/registrar/students/records/ferpa-annual.php,FERPA - Annual Notification  -       	Registrar      	 - University of Memphis   
203,203,http://www.memphis.edu/reslife/reshalls/index.php,Housing Options -       	Reslife      	 - University of Memphis   
204,204,http://www.memphis.edu/counseling/counseling/,Counseling Center Services -       	Counseling Center      	 - University of Memphis   
205,205,http://www.memphis.edu/reslife/housing101/,About Reslife -       	Reslife      	 - University of Memphis   
206,206,http://www.memphis.edu/uc/,University Center -       	University Center      	 - University of Memphis   
207,207,http://www.memphis.edu/rsp/listserv.php,ListServ Information -       	RSP      	 - University of Memphis   
208,208,http://www.memphis.edu/rsp/development/index.php, Research Development -       	RSP      	 - University of Memphis   
209,209,http://www.memphis.edu/rsp/staff/, Staff -       	RSP      	 - University of Memphis   
210,210,http://www.memphis.edu/rsp/compliance/index.php, Research Compliance -       	RSP      	 - University of Memphis   
211,211,http://www.memphis.edu/rsp/vice_president/index.php,Vice President's Office -       	RSP      	 - University of Memphis   
212,212,http://www.memphis.edu/rsp/sponsored_programs/index.php, Sponsored Programs Administration -       	RSP      	 - University of Memphis   
213,213,http://www.memphis.edu/rsp/cayuse/index.php,Research Portal -       	RSP      	 - University of Memphis   
214,214,http://www.memphis.edu/criticalconversations/,Critical Conversations -       	Critical Conversations      	 - University of Memphis   
215,215,http://www.memphis.edu/aa/resources/facres/index.php, Faculty Resources -       	Academic Affairs      	 - University of Memphis   
216,216,http://www.memphis.edu/aa/about/staff/index.php,Academic Affairs Staff -       	Academic Affairs      	 - University of Memphis   
217,217,http://www.memphis.edu/aa/recognition/aanominations/,Academic Affairs Award Nominations -       	Academic Affairs      	 - University of Memphis   
